345.15,1.0 atm,TRUE,976.617,1.0,41.943,1.0,3.544,-3.414,-0.115,5.954,1.0,45.333,1.0,18.046,1.0,-5.863,-1.846,63.184,1.0
349.15,1.0 atm,TRUE,974.249,1.0,41.762,1.0,3.544,-3.383,-0.128,6.185,1.0,45.714,1.0,18.058,1.0,-5.857,-1.817,62.030,1.0
353.15,1.0 atm,TRUE,971.798,1.0,41.580,1.0,3.544,-3.353,-0.142,6.411,1.0,46.143,1.0,18.071,1.0,-5.851,-1.788,60.897,1.0
357.15,1.0 atm,TRUE,969.266,1.0,41.396,1.0,3.545,-3.323,-0.158,6.633,1.0,46.621,1.0,18.086,1.0,-5.845,-1.761,59.784,1.0
361.15,1.0 atm,TRUE,966.655,1.0,41.210,1.0,3.545,-3.294,-0.175,6.853,1.0,47.148,1.0,18.101,1.0,-5.839,-1.734,58.691,1.0
365.15,1.0 atm,TRUE,963.966,1.0,41.024,1.0,3.545,-3.265,-0.194,7.071,1.0,47.722,1.0,18.117,1.0,-5.832,-1.707,57.617,1.0
369.15,1.0 atm,TRUE,961.202,1.0,40.837,1.0,3.546,-3.237,-0.214,7.287,1.0,48.346,1.0,18.134,1.0,-5.826,-1.681,56.561,1.0
373.15,1.0 atm,TRUE,958.364,1.0,40.652,1.0,3.546,-3.209,-0.235,7.501,1.0,49.019,1.0,18.151,1.0,-5.819,-1.655,55.522,1.0
# Pressure dependence data.  At very high pressures the weight is reduced because larger deviations from experiment are expected.,,,,,,,,,,,,,,,,,,,
# In later versions of the condensed phase parameterization, the pressures are linearly spaced and given weights of one.,,,,,,,,,,,,,,,,,,,
# The enthalpy of vaporization calculation is meaningless so it is given a weight of zero.,,,,,,,,,,,,,,,,,,,
298.15,20.0 bar,TRUE,997.902,1.0,43.989,0.0,3.542,-3.813,-0.025,2.594,1.0,45.026,1.0,17.980,1.0,-5.917,-2.231,78.479,1.0
298.15,50.0 bar,TRUE,999.246,1.0,43.989,0.0,3.542,-3.813,-0.025,2.627,1.0,44.682,1.0,17.944,1.0,-5.917,-2.231,78.591,1.0
298.15,100.0 bar,TRUE,1001.467,1.0,43.989,0.0,3.542,-3.813,-0.025,2.682,1.0,44.119,1.0,17.885,1.0,-5.917,-2.231,78.776,1.0
298.15,250.0 bar,TRUE,1007.993,0.4,43.989,0.0,3.542,-3.813,-0.025,2.840,0.4,42.503,0.4,17.720,0.4,-5.917,-2.231,79.323,0.4
298.15,500.0 bar,TRUE,1018.439,0.2,43.989,0.0,3.542,-3.813,-0.025,3.086,0.2,40.019,0.2,17.483,0.2,-5.917,-2.231,80.209,0.2
298.15,750.0 bar,TRUE,1028.385,0.133,43.989,0.0,3.542,-3.813,-0.025,3.307,0.133,37.768,0.133,17.286,0.133,-5.917,-2.231,81.067,0.133
298.15,1000.0 bar,TRUE,1037.872,0.1,43.989,0.0,3.542,-3.813,-0.025,3.502,0.1,35.723,0.1,17.123,0.1,-5.917,-2.231,81.900,0.1
298.15,2000.0 bar,TRUE,1071.908,0.05,43.989,0.0,3.542,-3.813,-0.025,4.044,0.05,29.215,0.05,16.703,0.05,-5.917,-2.231,85.015,0.05
298.15,4000.0 bar,TRUE,1126.580,0.025,43.989,0.0,3.542,-3.813,-0.025,4.407,0.025,21.371,0.025,16.375,0.025,-5.917,-2.231,90.545,0.025
298.15,8000.0 bar,TRUE,1206.748,0.012,43.989,0.0,3.542,-3.813,-0.025,4.300,0.012,14.050,0.012,16.195,0.012,-5.917,-2.231,100.184,0.012
